Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5419","Yield","01254","Leeks and other alliaceous vegetables","2017","2017","100 g/ha","256312","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01322","Lemons and limes","2017","2017","100 g/ha","236149","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01704","Lentils, dry","2017","2017","100 g/ha","25360","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01214","Lettuce and chicory","2017","2017","100 g/ha","236110","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01441","Linseed","2017","2017","100 g/ha","12782","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0112","Maize (corn)","2017","2017","100 g/ha","61103","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01316","Mangoes, guavas and mangosteens","2017","2017","100 g/ha","92845","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01449.01","Melonseed","2017","2017","100 g/ha","15134","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0118","Millet","2017","2017","100 g/ha","29587","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01442","Mustard seed","2017","2017","100 g/ha","7863","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01950.01","Natural rubber in primary forms","2017","2017","100 g/ha","11625","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0117","Oats","2017","2017","100 g/ha","34154","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01491.01","Oil palm fruit","2017","2017","100 g/ha","133612","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01450","Olives","2017","2017","100 g/ha","83005","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","100 g/ha","219742","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01253.01","Onions and shallots, green","2017","2017","100 g/ha","358536","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01323","Oranges","2017","2017","100 g/ha","168681","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01241.90","Other beans, green","2017","2017","100 g/ha","275105","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2017","2017","100 g/ha","110793","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01329","Other citrus fruit, n.e.c.","2017","2017","100 g/ha","307747","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01929.90","Other fibre crops, raw, n.e.c.","2017","2017","100 g/ha","108790","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01359.90","Other fruits, n.e.c.","2017","2017","100 g/ha","33571","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2017","2017","100 g/ha","56142","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01449.90","Other oil seeds, n.e.c.","2017","2017","100 g/ha","12518","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01709.90","Other pulses n.e.c.","2017","2017","100 g/ha","27240","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2017","2017","100 g/ha","33655","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01349.20","Other stone fruits","2017","2017","100 g/ha","86853","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01319","Other tropical fruits, n.e.c.","2017","2017","100 g/ha","38215","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01290.90","Other vegetables, fresh n.e.c.","2017","2017","100 g/ha","160839","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01317","Papayas","2017","2017","100 g/ha","629330","E","Estimated value",""
