Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5419","Yield","01254","Leeks and other alliaceous vegetables","2019","2019","100 g/ha","249869","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01322","Lemons and limes","2019","2019","100 g/ha","216608","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01704","Lentils, dry","2019","2019","100 g/ha","24897","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01214","Lettuce and chicory","2019","2019","100 g/ha","236244","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01441","Linseed","2019","2019","100 g/ha","13077","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","0112","Maize (corn)","2019","2019","100 g/ha","63171","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01316","Mangoes, guavas and mangosteens","2019","2019","100 g/ha","97005","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01449.01","Melonseed","2019","2019","100 g/ha","14907","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0118","Millet","2019","2019","100 g/ha","25552","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01442","Mustard seed","2019","2019","100 g/ha","7861","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01950.01","Natural rubber in primary forms","2019","2019","100 g/ha","11878","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","0117","Oats","2019","2019","100 g/ha","35526","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01491.01","Oil palm fruit","2019","2019","100 g/ha","132510","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01450","Olives","2019","2019","100 g/ha","83114","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","100 g/ha","219797","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01253.01","Onions and shallots, green","2019","2019","100 g/ha","361551","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01323","Oranges","2019","2019","100 g/ha","187387","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01241.90","Other beans, green","2019","2019","100 g/ha","272704","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2019","2019","100 g/ha","110673","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01329","Other citrus fruit, n.e.c.","2019","2019","100 g/ha","312722","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01929.90","Other fibre crops, raw, n.e.c.","2019","2019","100 g/ha","109030","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01359.90","Other fruits, n.e.c.","2019","2019","100 g/ha","34389","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2019","2019","100 g/ha","56625","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01449.90","Other oil seeds, n.e.c.","2019","2019","100 g/ha","13228","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01709.90","Other pulses n.e.c.","2019","2019","100 g/ha","25733","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2019","2019","100 g/ha","32906","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01349.20","Other stone fruits","2019","2019","100 g/ha","86600","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01319","Other tropical fruits, n.e.c.","2019","2019","100 g/ha","37447","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01290.90","Other vegetables, fresh n.e.c.","2019","2019","100 g/ha","162216","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01317","Papayas","2019","2019","100 g/ha","623924","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01345","Peaches and nectarines","2019","2019","100 g/ha","185263","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01342.01","Pears","2019","2019","100 g/ha","181041","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01705","Peas, dry","2019","2019","100 g/ha","15034","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01242","Peas, green","2019","2019","100 g/ha","80377","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01651","Pepper (Piper spp.), raw","2019","2019","100 g/ha","18167","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01359.01","Persimmons","2019","2019","100 g/ha","35527","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01318","Pineapples","2019","2019","100 g/ha","270622","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01375","Pistachios, in shell","2019","2019","100 g/ha","28479","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01346","Plums and sloes","2019","2019","100 g/ha","34230","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01321","Pomelos and grapefruits","2019","2019","100 g/ha","488218","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01510","Potatoes","2019","2019","100 g/ha","221750","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01235","Pumpkins, squash and gourds","2019","2019","100 g/ha","185231","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01342.02","Quinces","2019","2019","100 g/ha","34316","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01929.04","Ramie, raw or retted","2019","2019","100 g/ha","18744","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01443","Rape or colza seed","2019","2019","100 g/ha","20484","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0113","Rice","2019","2019","100 g/ha","70562","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0116","Rye","2019","2019","100 g/ha","31407","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01446","Safflower seed","2019","2019","100 g/ha","14699","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01921.01","Seed cotton, unginned","2019","2019","100 g/ha","68129","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01444","Sesame seed","2019","2019","100 g/ha","16023","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01929.05","Sisal, raw","2019","2019","100 g/ha","52745","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0114","Sorghum","2019","2019","100 g/ha","48884","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","0141","Soya beans","2019","2019","100 g/ha","19460","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01215","Spinach","2019","2019","100 g/ha","380578","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01354","Strawberries","2019","2019","100 g/ha","252984","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01241.01","String beans","2019","2019","100 g/ha","116842","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01801","Sugar beet","2019","2019","100 g/ha","560662","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01802","Sugar cane","2019","2019","100 g/ha","785800","A","Official figure"
"QCL","Crops and livestock products","159","China","5419","Yield","01445","Sunflower seed","2019","2019","100 g/ha","28471","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01530","Sweet potatoes","2019","2019","100 g/ha","219121","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01499.04","Tallowtree seeds","2019","2019","100 g/ha","24682","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01324","Tangerines, mandarins, clementines","2019","2019","100 g/ha","108656","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01550","Taro","2019","2019","100 g/ha","190131","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01620","Tea leaves","2019","2019","100 g/ha","37815","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01234","Tomatoes","2019","2019","100 g/ha","577169","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01191","Triticale","2019","2019","100 g/ha","19577","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01929.02","True hemp, raw or retted","2019","2019","100 g/ha","57452","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01499.02","Tung nuts","2019","2019","100 g/ha","26511","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01970","Unmanufactured tobacco","2019","2019","100 g/ha","25440","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01658","Vanilla, raw","2019","2019","100 g/ha","1800","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01376","Walnuts, in shell","2019","2019","100 g/ha","38239","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","01221","Watermelons","2019","2019","100 g/ha","414069","E","Estimated value"
"QCL","Crops and livestock products","159","China","5419","Yield","0111","Wheat","2019","2019","100 g/ha","56294","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","100 g/ha","9124","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01341","Apples","2019","2019","100 g/ha","75195","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01343","Apricots","2019","2019","100 g/ha","28188","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01379.01","Areca nuts","2019","2019","100 g/ha","17261","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01312","Bananas","2019","2019","100 g/ha","351732","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","0115","Barley","2019","2019","100 g/ha","28372","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01701","Beans, dry","2019","2019","100 g/ha","4163","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01212","Cabbages","2019","2019","100 g/ha","228175","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01229","Cantaloupes and other melons","2019","2019","100 g/ha","222105","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01372","Cashew nuts, in shell","2019","2019","100 g/ha","6724","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01520.01","Cassava, fresh","2019","2019","100 g/ha","305276","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01447","Castor oil seeds","2019","2019","100 g/ha","15928","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01213","Cauliflowers and broccoli","2019","2019","100 g/ha","195333","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01344.02","Cherries","2019","2019","100 g/ha","29185","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01703","Chick peas, dry","2019","2019","100 g/ha","10410","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2019","2019","100 g/ha","22346","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","100 g/ha","84566","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01640","Cocoa beans","2019","2019","100 g/ha","2553","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01460","Coconuts, in shell","2019","2019","100 g/ha","68257","A","Official figure"
