Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","33996","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","100 g/ha","12591","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01341","Apples","2018","2018","100 g/ha","202371","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01343","Apricots","2018","2018","100 g/ha","32996","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01379.01","Areca nuts","2018","2018","100 g/ha","24800","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01216","Artichokes","2018","2018","100 g/ha","67975","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01211","Asparagus","2018","2018","100 g/ha","52558","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01311","Avocados","2018","2018","100 g/ha","83063","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01312","Bananas","2018","2018","100 g/ha","333324","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","0115","Barley","2018","2018","100 g/ha","40020","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01701","Beans, dry","2018","2018","100 g/ha","17529","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01702","Broad beans and horse beans, dry","2018","2018","100 g/ha","20659","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01243","Broad beans and horse beans, green","2018","2018","100 g/ha","132999","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01192","Buckwheat","2018","2018","100 g/ha","8022","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01212","Cabbages","2018","2018","100 g/ha","353089","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01229","Cantaloupes and other melons","2018","2018","100 g/ha","343339","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01251","Carrots and turnips","2018","2018","100 g/ha","452144","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01372","Cashew nuts, in shell","2018","2018","100 g/ha","11130","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01520.01","Cassava, fresh","2018","2018","100 g/ha","164900","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01447","Castor oil seeds","2018","2018","100 g/ha","16875","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01213","Cauliflowers and broccoli","2018","2018","100 g/ha","198251","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01199.90","Cereals n.e.c.","2018","2018","100 g/ha","25266","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01344.02","Cherries","2018","2018","100 g/ha","41788","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01373","Chestnuts, in shell","2018","2018","100 g/ha","57584","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01703","Chick peas, dry","2018","2018","100 g/ha","53857","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2018","2018","100 g/ha","66317","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","100 g/ha","219204","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01655","Cinnamon and cinnamon-tree flowers, raw","2018","2018","100 g/ha","18733","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01656","Cloves (whole stems), raw","2018","2018","100 g/ha","12522","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01460","Coconuts, in shell","2018","2018","100 g/ha","108122","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01610","Coffee, green","2018","2018","100 g/ha","30114","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01706","Cow peas, dry","2018","2018","100 g/ha","10341","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01232","Cucumbers and gherkins","2018","2018","100 g/ha","544712","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01314","Dates","2018","2018","100 g/ha","128118","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2018","2018","100 g/ha","147876","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01233","Eggplants (aubergines)","2018","2018","100 g/ha","441283","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01315","Figs","2018","2018","100 g/ha","52346","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","26190.01","Flax, processed but not spun","2018","2018","100 g/ha","32108","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01657","Ginger, raw","2018","2018","100 g/ha","108784","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01330","Grapes","2018","2018","100 g/ha","189104","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01290.01","Green corn (maize)","2018","2018","100 g/ha","95379","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01252","Green garlic","2018","2018","100 g/ha","251509","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0142","Groundnuts, excluding shelled","2018","2018","100 g/ha","37475","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01374","Hazelnuts, in shell","2018","2018","100 g/ha","19670","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01659","Hop cones","2018","2018","100 g/ha","28154","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01922.01","Jute, raw or retted","2018","2018","100 g/ha","37269","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01922.02","Kenaf, and other textile bast fibres, raw or retted","2018","2018","100 g/ha","58675","E","Estimated value",""
